forest;plotID;treeID;genus;species;meanWD;predHeight18;DBH18
Kahuzi;KBPL1;1001;Neoboutonia;Macrocalyx;0.33;8.579820697;11.2
Kahuzi;KBPL1;1002;Strombosia;Scheffleri;0.584;7.996668776;10.2
Kahuzi;KBPL1;1003;Macaranga;Kilimandsharica;0.4;8.522882473;11.1
Kahuzi;KBPL1;1004;Dombeya;Goetzenii;0.5;19.46888187;47.5
Kahuzi;KBPL1;1005;Polyscias;Fulva;0.237;13.57040808;22.5
Kahuzi;KBPL1;1006;Taberemonta;Johnstonii;0.5261;16.10575732;31
Kahuzi;KBPL1;1007;Galiniera;Coffeoides;0.4731;8.056394382;10.3
Kahuzi;KBPL1;1008;Neoboutonia;Macrocalyx;0.33;15.17952001;27.6
Kahuzi;KBPL1;1009;Xymalos;Monospora;0.4731;9.761885204;13.4
Kahuzi;KBPL1;1010;Dombeya;Goetzenii;0.5;22.3227238;70.6
Kahuzi;KBPL1;1011;Alangium;Chinense;0.4017;13.18212263;21.4
Kahuzi;KBPL1;1012;Dombeya;Goetzenii;0.5;20.83119004;57
Kahuzi;KBPL1;1013;Millettia;Dura;0.6967;12.47104212;19.5
Kahuzi;KBPL1;1014;Strombosia;Scheffleri;0.584;10.45066057;14.8
Kahuzi;KBPL1;1015;Neoboutonia;Macrocalyx;0.33;13.18212263;21.4
Kahuzi;KBPL1;1016;Neoboutonia;Macrocalyx;0.33;14.521068;25.4
Kahuzi;KBPL1;1017;Neoboutonia;Macrocalyx;0.33;15.20828223;27.7
Kahuzi;KBPL1;1018;Strombosia;Scheffleri;0.584;9.761885204;13.4
Kahuzi;KBPL1;1019;Maesa;Lanceolata;0.676;15.89700127;30.2
Kahuzi;KBPL1;1020;Alangium;Chinense;0.4017;10.49815236;14.9
Kahuzi;KBPL1;1021;Dombeya;Goetzenii;0.5;8.636462832;11.3
Kahuzi;KBPL1;1022;Dombeya;Goetzenii;0.5;16.33432029;31.9
Kahuzi;KBPL1;1023;Allophylus;Kivuensis;0.5178;15.37883113;28.3
Kahuzi;KBPL1;1024;Allophylus;Kivuensis;0.5178;9.347006901;12.6
Kahuzi;KBPL1;1025;Albizia;Adianthifolia;0.5075;8.465645526;11
Kahuzi;KBPL1;1026;Alangium;Chinense;0.4017;7.936619198;10.1
Kahuzi;KBPL1;1027;Macaranga;Spinosa;0.3818;14.33250251;24.8
Kahuzi;KBPL1;1028;Macaranga;Spinosa;0.3818;8.174885438;10.5
Kahuzi;KBPL1;1029;Dombeya;Goetzenii;0.5;15.15066004;27.5
Kahuzi;KBPL1;1030;Dombeya;Goetzenii;0.5;18.96639123;44.5
Kahuzi;KBPL1;1031;Neoboutonia;Macrocalyx;0.33;15.40692321;28.4
Kahuzi;KBPL1;1032;Dombeya;Goetzenii;0.5;17.09706748;35.1
Kahuzi;KBPL1;1033;Dombeya;Goetzenii;0.5;19.73681488;49.2
Kahuzi;KBPL1;1034;Dombeya;Goetzenii;0.5;20.66281866;55.7
Kahuzi;KBPL1;1035;Dombeya;Goetzenii;0.5;15.1217018;27.4
Kahuzi;KBPL1;1036;Millettia;Dura;0.6967;12.35375015;19.2
Kahuzi;KBPL1;1037;Millettia;Dura;0.6967;7.996668776;10.2
Kahuzi;KBPL1;1038;Dombeya;Goetzenii;0.5;9.240705622;12.4
Kahuzi;KBPL1;1039;Dombeya;Goetzenii;0.5;18.57168357;42.3
Kahuzi;KBPL1;1040;Dombeya;Goetzenii;0.5;13.53577657;22.4
Kahuzi;KBPL1;1041;Agauria;Salicifolia;0.4731;24.78492136;108
Kahuzi;KBPL1;1042;Allophylus;Kivuensis;0.5178;10.54542598;15
Kahuzi;KBPL1;1043;Albizia;Adianthifolia;0.5075;8.860122003;11.7
